lat,lon,date,AQI,level
33.945167,-96.405636,2017-10-17T23:00,43,1
32.0319,-96.3992,2017-10-17T23:00,44,1
36.1053,-96.3608,2017-10-17T23:00,40,1
32.565,-96.3175,2017-10-17T23:00,48,1
33.153077,-96.115561,2017-10-17T23:00,41,1
36.35586,-96.01243,2017-10-17T23:00,41,1
35.9525,-96.0033,2017-10-17T23:00,37,1
36.206699,-95.976402,2017-10-17T23:00,40,1
41.2474,-95.9731,2017-10-17T23:00,36,1
41.208083,-95.947439,2017-10-17T23:00,31,1
41.322472,-95.937992,2017-10-17T23:00,31,1
41.832199,-95.928101,2017-10-17T23:00,39,1
36.908115,-95.88235,2017-10-17T23:00,44,1
44.4572,-95.835,2017-10-17T23:00,37,1
34.906082,-95.794128,2017-10-17T23:00,41,1
36.1336,-95.7636,2017-10-17T23:00,43,1
39.0242,-95.7114,2017-10-17T23:00,40,1
30.0394,-95.6739,2017-10-17T23:00,46,1
29.7233,-95.6358,2017-10-17T23:00,54,2
29.6958,-95.4992,2017-10-17T23:00,46,1
29.8342,-95.4892,2017-10-17T23:00,38,1
37.67696,-95.47594,2017-10-17T23:00,41,1
29.6239,-95.4742,2017-10-17T23:00,44,1
29.0436,-95.4736,2017-10-17T23:00,97,2
30.3503,-95.425,2017-10-17T23:00,41,1
32.344008,-95.415751,2017-10-17T23:00,64,2
29.5203,-95.3925,2017-10-17T23:00,50,1
29.9011,-95.3261,2017-10-17T23:00,43,1
29.68639,-95.294724,2017-10-17T23:00,37,1
29.8281,-95.2842,2017-10-17T23:00,37,1
29.6256,-95.2672,2017-10-17T23:00,33,1
29.7339,-95.2575,2017-10-17T23:00,40,1
36.228298,-95.25,2017-10-17T23:00,40,1
29.7681,-95.2206,2017-10-17T23:00,31,1
29.670025,-95.128508,2017-10-17T23:00,38,1
29.8025,-95.1256,2017-10-17T23:00,36,1
29.7644,-95.0781,2017-10-17T23:00,31,1
40.970001,-95.044998,2017-10-17T23:00,38,1
29.5831,-95.0156,2017-10-17T23:00,41,1
35.854198,-94.986099,2017-10-17T23:00,41,1
29.823319,-94.983786,2017-10-17T23:00,39,1
39.3275,-94.9513,2017-10-17T23:00,42,1
29.2631,-94.8564,2017-10-17T23:00,45,1
39.9544,-94.849,2017-10-17T23:00,42,1
36.922222,-94.83889,2017-10-17T23:00,36,1
36.804669,-94.725024,2017-10-17T23:00,37,1
35.750599,-94.669701,2017-10-17T23:00,42,1
39.1175,-94.6356,2017-10-17T23:00,37,1
39.33188,-94.5806,2017-10-17T23:00,40,1
38.75961,-94.57983,2017-10-17T23:00,38,1
39.5306,-94.556,2017-10-17T23:00,42,1
35.408138,-94.524414,2017-10-17T23:00,41,1
37.2385,-94.42468,2017-10-17T23:00,38,1
29.863952,-94.3178,2017-10-17T23:00,44,1
39.407419,-94.265142,2017-10-17T23:00,40,1
32.6706,-94.1681,2017-10-17T23:00,38,1
36.011703,-94.167436,2017-10-17T23:00,42,1
34.4544,-94.1433,2017-10-17T23:00,40,1
36.1797,-94.1167,2017-10-17T23:00,39,1
30.0394,-94.0747,2017-10-17T23:00,38,1
37.70097,-94.03474,2017-10-17T23:00,40,1
29.9786,-94.0111,2017-10-17T23:00,38,1
29.9425,-94.0006,2017-10-17T23:00,37,1
29.8942,-93.9875,2017-10-17T23:00,39,1
29.7181,-93.8969,2017-10-17T23:00,45,1
32.6833,-93.8617,2017-10-17T23:00,41,1
30.0844,-93.7617,2017-10-17T23:00,41,1
32.5364,-93.7492,2017-10-17T23:00,46,1
41.849433,-93.697616,2017-10-17T23:00,38,1
45.2108,-93.6686,2017-10-17T23:00,37,1
41.6031,-93.643303,2017-10-17T23:00,37,1
30.2278,-93.5797,2017-10-17T23:00,39,1
44.789398,-93.512497,2017-10-17T23:00,35,1
30.1433,-93.3719,2017-10-17T23:00,36,1
37.256069,-93.299692,2017-10-17T23:00,38,1
44.9653,-93.2551,2017-10-17T23:00,28,1
36.707649,-93.221809,2017-10-17T23:00,38,1
35.8325,-93.2192,2017-10-17T23:00,36,1
45.1425,-93.2139,2017-10-17T23:00,31,1
37.319444,-93.204444,2017-10-17T23:00,36,1
45.400799,-93.201103,2017-10-17T23:00,35,1
44.471901,-93.013298,2017-10-17T23:00,35,1
45.168,-92.7651,2017-10-17T23:00,31,1
42.743099,-92.5131,2017-10-17T23:00,39,1
43.9947,-92.4497,2017-10-17T23:00,35,1
39.07803,-92.316322,2017-10-17T23:00,38,1
34.7561,-92.2758,2017-10-17T23:00,41,1
34.8306,-92.2594,2017-10-17T23:00,44,1
38.70608,-92.09308,2017-10-17T23:00,35,1
32.509701,-92.046097,2017-10-17T23:00,41,1
30.2258,-92.042801,2017-10-17T23:00,42,1
40.693298,-92.006104,2017-10-17T23:00,41,1
39.4751,-91.78899,2017-10-17T23:00,39,1
44.761398,-91.413002,2017-10-17T23:00,33,1
30.6817,-91.3661,2017-10-17T23:00,33,1
39.9175,-91.3358,2017-10-17T23:00,38,1
30.2211,-91.3153,2017-10-17T23:00,48,1
43.7781,-91.225,2017-10-17T23:00,37,1
30.5019,-91.2111,2017-10-17T23:00,34,1
30.4197,-91.1819,2017-10-17T23:00,37,1
30.4622,-91.1769,2017-10-17T23:00,39,1
30.1975,-91.1283,2017-10-17T23:00,39,1
30.7008,-91.0561,2017-10-17T23:00,38,1
30.2294,-90.9656,2017-10-17T23:00,41,1
39.045857,-90.849189,2017-10-17T23:00,38,1
29.995,-90.8172,2017-10-17T23:00,36,1
30.315,-90.8114,2017-10-17T23:00,20,1
29.7639,-90.7653,2017-10-17T23:00,37,1
33.7556,-90.7275,2017-10-17T23:00,34,1
38.4902,-90.7052,2017-10-17T23:00,37,1
30.0494,-90.6367,2017-10-17T23:00,34,1
41.529999,-90.587502,2017-10-17T23:00,37,1
41.6992,-90.521896,2017-10-17T23:00,38,1
41.5144,-90.5172,2017-10-17T23:00,40,1
38.8994,-90.44917,2017-10-17T23:00,37,1
38.448581,-90.398436,2017-10-17T23:00,40,1
39.101439,-90.344494,2017-10-17T23:00,40,1
30.0411,-90.2728,2017-10-17T23:00,37,1
38.8725,-90.226389,2017-10-17T23:00,37,1
32.346905,-90.225928,2017-10-17T23:00,35,1
